row_id,objectid,cnn,streetname,project_lo,from_st,tc_measure,units,install_mo,install_yr,install_date,fiscal_yr,program,current_status,supervisor_district,analysis_neighborhood,shape,data_as_of,data_loaded_at
176,17802,22945000,WAWONA ST,Wawona Street and Vicente Street,VICENTE ST,Speed Hump,1,10,2008,10/01/2008 12:00:00 AM,FY 2008-2009,Areawide,Complete,7,West Portal,POINT (-122.467996973 37.740005654),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
177,17805,22948000,MADRONE AVE,Madrone Avenue and Ulloa Street,ULLOA ST,Speed Radar Sign,2,7,2016,07/01/2016 12:00:00 AM,,,Complete,7,West Portal,POINT (-122.467630536 37.741503089),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
178,17806,22949000,VICENTE ST,Vicente Street and 14th Avenue,14TH AVE,Speed Hump,0,0,2010,01/01/2010 12:00:00 AM,,,Complete,7,West Portal,POINT (-122.469975198 37.739564328),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
179,10235,20046000,KIRKWOOD AVE,Kirkwood Avenue and Dormitory Rd \ Kiska Rd,DORMITORY RD \ KISKA RD,Choker,1,6,2008,06/01/2008 12:00:00 AM,FY 2007-2008,Areawide,Complete,10,Hunters Point,POINT (-122.37492808 37.729659694),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
180,10240,20060000,NORTHRIDGE RD,Northridge Rd and Harbor Rd,HARBOR RD,Channelization,1,0,0,01/01/1900 12:00:00 AM,FY 2004-2005,Site Specific,Complete,10,Hunters Point,POINT (-122.376999545 37.731009871),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
181,13165,33128000,KIRKWOOD AVE,Kirkwood Avenue and Earl Street,EARL ST,Traffic Circle,1,10,2005,10/01/2005 12:00:00 AM,FY 2004-2005,Site Specific,Complete,10,Hunters Point,POINT (-122.373157914 37.728638538),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
182,19184,21253000,WINFIELD ST,Winfield Street and Cortland Avenue,CORTLAnd AVE,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,9,Bernal Heights,POINT (-122.420275045 37.739984557),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
183,19234,21319000,VIRGINIA AVE,Virginia Avenue and Coleridge Street,COLERIDGE ST,Traffic Island,1,3,2006,03/01/2006 12:00:00 AM,FY 2004-2005,Site Specific,Complete,9,Bernal Heights,POINT (-122.420386697 37.742678715),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
184,19274,21140000,PRECITA AVE,Precita Avenue and Alabama Street,ALABAMA ST,Traffic Island,1,12,2006,12/01/2006 12:00:00 AM,FY 2005-2006,Site Specific,Complete,9,Bernal Heights,POINT (-122.410495199 37.747354199),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
185,19283,21150000,HARRISON ST,Harrison Street and Ripley Street,RIPLEY ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,9,Bernal Heights,POINT (-122.411357918 37.744266261),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
186,10336,20193000,HUDSON AVE,Hudson Avenue and Reuel Ct,REUEL CT,Raised Crosswalk,1,10,2017,10/01/2017 12:00:00 AM,FY 2015-2016,Backlog,Complete,10,Bayview,POINT (-122.383637861 37.736604528),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
187,10337,20196000,NEWCOMB AVE,Newcomb Avenue and La Salle Avenue,LA SALLE AVE,Traffic Circle,1,5,2006,05/01/2006 12:00:00 AM,FY 2004-2005,Site Specific,Complete,10,Bayview,POINT (-122.385001539 37.733070821),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
188,10338,20197000,NEWCOMB AVE,Newcomb Avenue and Keith Street,KEITH ST,Speed Table,1,9,2024,09/01/2024 12:00:00 AM,,TC Program R1-1 Compliance Study,Complete,10,Bayview,POINT (-122.386045541 37.733103479),10/02/2024 04:50:59 PM,07/26/2025 10:20:54 AM
189,10339,20198000,LA SALLE AVE,La Salle Avenue and Cashmere Street,CASHMERE ST,Traffic Circle,1,6,2006,06/01/2006 12:00:00 AM,FY 2004-2005,Site Specific,Complete,10,Bayview,POINT (-122.387175616 37.735661608),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
190,10340,20200000,WHITNEY YOUNG CIR,Whitney Young Cir and Cashmere Street \ Dedman Ct,CASHMERE ST \ DEDMAN CT,Traffic Circle,1,5,2006,05/01/2006 12:00:00 AM,FY 2004-2005,Site Specific,Complete,10,Bayview,POINT (-122.38571301 37.736601129),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
191,10341,20201000,KEITH ST,Keith Street and Hudson Avenue,HUDSON AVE,Raised Crosswalk,1,10,2017,10/01/2017 12:00:00 AM,FY 2015-2016,Backlog,Complete,10,Bayview,POINT (-122.384046509 37.737514216),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
192,10347,20208000,NEWCOMB AVE,Newcomb Avenue and Lane Street,LANE ST,Speed Table,1,7,2024,07/01/2024 12:00:00 AM,,TC Program R1-1 Compliance Study,Complete,10,Bayview,POINT (-122.387909634 37.734170464),03/21/2025 04:51:47 PM,07/26/2025 10:20:54 AM
193,10704,20661000,NEWCOMB AVE,Newcomb Avenue and Mendell Street,MENDELL ST,Raised Crosswalk,2,6,2024,06/01/2024 12:00:00 AM,,D10 CRT,Complete,10,Bayview,POINT (-122.389770837 37.735224883),07/17/2024 07:37:52 PM,07/26/2025 10:20:54 AM
194,10709,20666000,NEWHALL ST,Newhall Street and Newcomb Avenue,NEWCOMB AVE,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,10,Bayview,POINT (-122.391647568 37.73628804),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
195,10717,20674000,PHELPS ST,Phelps Street and Newcomb Avenue,NEWCOMB AVE,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,10,Bayview,POINT (-122.393523632 37.737350758),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
196,10575,20739000,SILVER AVE,Silver Avenue and Ledyard Street,LEDYARD ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,10,Silver Terrace,POINT (-122.402855866 37.734073204),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
197,10723,20681000,PALOU AVE,Palou Avenue and Dunshee Street,DUNSHEE ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,10,Silver Terrace,POINT (-122.395685627 37.736686284),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
198,10523,20448000,INGALLS ST,Ingalls Street and Fitzgerald Avenue,FITZGERALD AVE,Traffic Island,2,3,2007,03/01/2007 12:00:00 AM,FY 2004-2005,Site Specific,Complete,10,Bret Harte,POINT (-122.391306489 37.720975987),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
199,10697,20653000,BRUSSELS ST,Brussels Street and Burrows Street,BURROWS ST,Raised Crosswalk,1,3,2021,03/01/2021 12:00:00 AM,FY 2017-2018,App-Based,Complete,9,Portola,POINT (-122.406081372 37.728315239),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
200,18731,21818000,JUSTIN Drive,Justin Drive and College Avenue \ Genebern Way,COLLEGE AVE \ GENEBERN WAY,Traffic Circle,1,3,2004,03/01/2004 12:00:00 AM,FY 2004-2005,Site Specific,Complete,9,St. Mary's Park,POINT (-122.423852324 37.734563373),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
201,18763,21862000,SAN JOSE AVE,San Jose Avenue and Rousseau Street,ROUSSEAU ST,Speed Hump,1,11,2021,11/01/2021 12:00:00 AM,,Misc Traffic Calming,Complete,8,St. Mary's Park,POINT (-122.430368501 37.733932558),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
202,18765,21865000,SAN JOSE AVE,San Jose Avenue and Street Marys Avenue,ST MARYS AVE,Speed Hump,1,11,2021,11/01/2021 12:00:00 AM,,Misc Traffic Calming,Complete,8,St. Mary's Park,POINT (-122.428436981 37.73495095),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
203,18967,21675000,BENTON AVE,Benton Avenue and Genebern Way,GENEBERN WAY,Traffic Circle,1,3,2006,03/01/2006 12:00:00 AM,FY 2004-2005,Site Specific,Complete,9,St. Mary's Park,POINT (-122.425153952 37.732839774),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
204,18672,21965000,JOOST AVE,Joost Avenue and Lippard Avenue,LIPPARD AVE,Traffic Island,0,0,0,01/01/1900 12:00:00 AM,FY 2011-2012,Areawide,Complete,8,Sunnyside,POINT (-122.436238357 37.732382388),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
205,18440,22132000,HEARST AVE,Hearst Avenue and Baden Street,BADEN ST,Traffic Circle,1,7,2016,07/01/2016 12:00:00 AM,FY 2011-2012,TC Implementation,Complete,7,Sunnyside,POINT (-122.439737346 37.730732907),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
206,18685,21983000,MIZPAH ST,Mizpah Street and Chenery Street \ Surrey Street,CHENERY ST \ SURREY ST,Speed Hump,1,4,2021,04/01/2021 12:00:00 AM,FY 2019-2020,App Based,Complete,8,Glen Park,POINT (-122.438821245 37.735669449),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
207,15014,26497000,FRANKLIN ST,Franklin Street and Fern Street,FERN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,2,Cathedral Hill,POINT (-122.423497973 37.787805209),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
208,15023,26506000,AUSTIN ST,Austin Street and Gough Street,GOUGH ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,2,Cathedral Hill,POINT (-122.425330514 37.788536281),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
209,15964,25188000,WILLOW ST,Willow Street and Franklin Street,FRANKLIN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,2,Cathedral Hill,POINT (-122.422557981 37.783151428),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
210,15970,25194000,OLIVE ST,Olive Street and Franklin Street,FRANKLIN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,2,Cathedral Hill,POINT (-122.42274548 37.784083676),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
211,14930,26603000,WILMOT ST,Wilmot Street and Webster Street,WEBSTER ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,5,Japantown,POINT (-122.431909854 37.787696842),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
212,14872,26542000,SACRAMENTO ST,Sacramento Street and Gough Street,GOUGH ST,Left Turn Traffic Calming,1,8,2020,08/01/2020 12:00:00 AM,,Left Turn Traffic Calming,Complete,2,Pacific Heights,POINT (-122.425802144 37.790874428),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
213,15217,26073000,GOLDEN GATE AVE,Golden Gate Avenue and Broderick Street,BRODERICK ST,Raised Crosswalk,1,10,2022,10/01/2022 12:00:00 AM,,Golden Gate Ave TC,Complete,2,Western Addition,POINT (-122.440213335 37.778511464),12/06/2022 11:59:45 PM,07/26/2025 10:20:54 AM
214,14914,26585000,WEBSTER ST,Webster Street and Ellis Street,ELLIS ST,Ped Refuge Island,0,0,0,01/01/1900 12:00:00 AM,FY 2011-2012,Areawide,Complete,5,Western Addition,POINT (-122.430797881 37.782569889),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
215,15072,26359000,GOLDEN GATE AVE,Golden Gate Avenue and Baker Street,BAKER ST,Raised Crosswalk,1,10,2022,10/01/2022 12:00:00 AM,,Golden Gate Ave TC,Complete,5,Western Addition,POINT (-122.441865641 37.778299554),12/06/2022 11:59:47 PM,07/26/2025 10:20:54 AM
216,15087,26374000,MCALLISTER ST,Mcallister Street and Lyon Street,LYON ST,Traffic Circle,1,2,2018,02/01/2018 12:00:00 AM,FY 2017-2018,5 Fulton Rapid Project,Complete,2,Western Addition,POINT (-122.443321055 37.777164446),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
217,15088,26375000,LYON ST,Lyon Street and Golden Gate Avenue,GOLDEN GATE AVE,Speed Hump,0,1,2019,01/01/2019 12:00:00 AM,,,Complete,2,Western Addition,POINT (-122.44350692 37.778089213),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
218,16373,24746000,QUINCY ST,Quincy Street and California Street,CALIFORNIA ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.405654338 37.792486579),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
219,16046,25050000,JACKSON ST,Jackson Street and Adele Ct,ADELE CT,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.40954722 37.795660708),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
220,16052,25058000,STARK ST,Stark Street and Streetockton Street,STOCKTON ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.408557723 37.797327199),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
221,16185,24984000,SABIN PL,Sabin Place and California Street,CALIFORNIA ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.406718234 37.792352262),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
222,16209,25019000,SPOFFORD ST,Spofford Street and Clay Street,CLAY ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.407294006 37.794137812),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
223,16211,25022000,WASHINGTON ST,Washington Street and Old Chinatown Lane \ Spofford Street,OLD CHINATOWN LN \ SPOFFORD ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.407485197 37.795015975),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
224,16215,25029000,JACKSON ST,Jackson Street and Beckett Street,BECKETT ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.406350669 37.796061969),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
225,16223,25042000,WASHINGTON ST,Washington Street and Streetone Street,STONE ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Chinatown,POINT (-122.40916435 37.794807446),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
226,16225,25045000,TRENTON ST,Trenton Street and Jackson Street,JACKSON ST,Raised Crosswalk,1,11,2020,11/01/2020 12:00:00 AM,,PW Trenton Alley Improvement Project,Complete,3,Chinatown,POINT (-122.40907552 37.795720126),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
227,13465,30769000,PRATT PL,Pratt Place and California Street,CALIFORNIA ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.408088839 37.792179207),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
228,16002,25236000,HELEN ST,Helen Street and California Street,CALIFORNIA ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.41610032 37.791156273),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
229,16003,25238000,LEROY PL,Leroy Place and Sacramento Street,SACRAMENTO ST,Raised Crosswalk,2,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.415116379 37.79223757),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
230,16007,25247000,KIMBALL PL,Kimball Place and Sacramento Street,SACRAMENTO ST,Raised Crosswalk,2,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.416290649 37.792087709),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
231,16040,25292000,HYDE ST,Hyde Street and Broadway,BROADWAY,Raised Crosswalk,4,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.418457662 37.796275468),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
232,16063,25075000,WETMORE ST,Wetmore Street and Clay Street,CLAY ST,Raised Crosswalk,2,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.410365443 37.793747032),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
233,16066,25079000,MASON ST,Mason Street and Dawson Place \ Malvina Place,DAWSON PL \ MALVINA PL,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.411133642 37.793383647),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
234,16085,25107000,JACKSON ST,Jackson Street and Auburn Street,AUBURN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.412335878 37.795306858),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
235,16178,24973000,TIMOTHY PFLUEGER PL,Timothy Pflueger Place and Bush Street,BUSH ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.407970426 37.790262535),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
236,16189,24989000,MILES ST,Miles Street and California Street,CALIFORNIA ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.408863679 37.792079957),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
237,16195,24999000,JOICE ST,Joice Street and California Street,CALIFORNIA ST,Raised Crosswalk,2,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.408363898 37.792140773),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
238,16201,25010000,MILLER PL,Miller Place and Sacramento Street,SACRAMENTO ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Nob Hill,POINT (-122.409009613 37.793015436),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
239,13395,30076000,VAN NESS AVE,Van Ness Avenue and Austin Street,AUSTIN ST,Raised Crosswalk,1,11,2020,11/01/2020 12:00:00 AM,,PW Van Ness Ave Infrastructure Improvements,Complete,3,Lower Nob Hill,POINT (-122.421940375 37.788968775),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
240,13553,30053000,POST ST,Post Street and Shannon Street,SHANNON ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.412531202 37.787766808),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
241,15979,25203000,LARKIN ST,Larkin Street and Fern Street,FERN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.418559315 37.788432343),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
242,15984,25209000,POLK ST,Polk Street and Fern Street,FERN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.420210435 37.788222701),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
243,15986,25211000,POLK ST,Polk Street and Austin Street \ Frank Norris Street,AUSTIN ST \ FRANK NORRIS ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.420401246 37.789165094),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
244,16125,25164000,LEAVENWORTH ST,Leavenworth Street and Sutter Street,SUTTER ST,Left Turn Traffic Calming,1,8,2020,08/01/2020 12:00:00 AM,,Left Turn Traffic Calming,Complete,3,Lower Nob Hill,POINT (-122.41518527 37.788387931),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
245,16153,24939000,TAYLOR ST,Taylor Street and Derby Street,DERBY ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.411572254 37.787219923),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
246,16158,24946000,ISADORA DUNCAN LN,Isadora Duncan Lane and Taylor Street,TAYLOR ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.411642193 37.787566865),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
247,16170,24963000,JONES ST,Jones Street and Colin Place,COLIN PL,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.41329483 37.787383634),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
248,16174,24967000,JONES ST,Jones Street and Cosmo Place,COSMO PL,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Lower Nob Hill,POINT (-122.413412923 37.787958083),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
249,13409,30711000,KRAUSGRILL PL,Krausgrill Place and Filbert Street,FILBERT ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,North Beach,POINT (-122.408928787 37.801425761),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
250,16395,24768000,MONTGOMERY ST,Montgomery Street and Broadway,BROADWAY,Left Turn Traffic Calming,1,8,2020,08/01/2020 12:00:00 AM,,Left Turn Traffic Calming,Complete,3,North Beach,POINT (-122.403863018 37.798222971),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
251,15887,25331000,GRANT AVE,Grant Avenue and Fresno Street,FRESNO ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,North Beach,POINT (-122.407148837 37.798489804),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
252,15891,25336000,BANNAN PL,Bannan Place and Green Street,GREEN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,North Beach,POINT (-122.407698022 37.799663687),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
253,15902,25353000,JASPER PL,Jasper Place and Green Street,GREEN ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,North Beach,POINT (-122.408169309 37.79960144),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
254,15904,25357000,JASPER PL,Jasper Place and Union Street,UNION ST,Raised Crosswalk,2,0,0,01/01/1900 12:00:00 AM,,,Complete,3,North Beach,POINT (-122.408358783 37.800544952),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
255,15931,25401000,BELLAIR PL,Bellair Place and Chestnut Street,CHESTNUT ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,North Beach,POINT (-122.409324503 37.804243372),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
256,15830,25517000,LEAVENWORTH ST,Leavenworth Street and Filbert Street,FILBERT ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Russian Hill,POINT (-122.417586975 37.800340792),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
257,15855,25545000,UNION ST,Union Street and Eastman Street,EASTMAN ST,Raised Crosswalk,2,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Russian Hill,POINT (-122.420085585 37.799069193),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
258,15859,25550000,UNION ST,Union Street and Moore Place,MOORE PL,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Russian Hill,POINT (-122.420346295 37.799036692),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
259,15871,25313000,WHITE ST,White Street and Vallejo Street,VALLEJO ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Russian Hill,POINT (-122.419496989 37.797229453),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
260,16035,25285000,WALDO ALLEY,Waldo Alley and Leavenworth Street,LEAVENWORTH ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Russian Hill,POINT (-122.416931168 37.797050822),12/06/2022 11:57:27 PM,07/26/2025 10:20:54 AM
261,16090,25115000,MASON ST,Mason Street and Broadway,BROADWAY,Raised Crosswalk,3,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Russian Hill,POINT (-122.411888141 37.797132192),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
262,16102,25133000,HIMMELMANN PL,Himmelmann Place and Broadway,BROADWAY,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,3,Russian Hill,POINT (-122.412993154 37.797138688),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
263,16455,24605000,02nd ST,2nd Street and Jessie Street,JESSIE ST,Raised Crosswalk,1,0,0,01/01/1900 12:00:00 AM,,,Complete,6,Financial District,POINT (-122.40034385 37.788442163),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
264,16467,24618000,02nd ST,2nd Street and Streetevenson Street,STEVENSON ST,Raised Crosswalk,2,0,0,01/01/1900 12:00:00 AM,,,Complete,6,Financial District,POINT (-122.400812303 37.788815497),11/17/2022 09:50:13 PM,07/26/2025 10:20:54 AM
